abandon,verb,離棄；放棄；拋棄；遺棄
abandoned,verb,離棄；放棄；拋棄；遺棄
abandonment,None,None
abbreviate,verb,縮略，縮寫；簡稱
abbreviation,noun,縮略，縮寫；簡稱
abide,verb,（因為厭惡而）不能忍受，無法容忍
abiding,adjective,（感情或記憶）持久的，永久的
ability,noun,（體力或智力方面的）能力；才能，才智
ablaze,adjective,猛烈燃燒的；烈火熊熊的
abnormal,adjective,反常的；異常的；變態的（尤指不好的）
aboard,adverb,上船（或飛機、公共汽車、火車等）；在船（或飛機、公共汽車、火車等）上
abolish,verb,廢除，廢止
abolition,None,None
abolitionist,noun,主張廢除…的人，廢除主義者
abort,verb,中止；使夭折；使中途失敗
abound,verb,大量存在；有很多
abrasion,noun,磨損，磨耗；擦傷
abrasive,adjective,生硬粗暴的；不友好的
abrupt,adjective,突然的；意外的
absence,noun,缺席；缺勤；不在場
absent,adjective,（尤指上課或工作）缺勤的；缺席的；不在場的
absentee,noun,曠課者；曠工者；缺勤者
absenteeism,None,None
absolute,adjective,完全的；全部的；絕對的；毋庸置疑的
absolutely,adverb,完全地；絕對地
absorb,verb,（尤指逐漸）吸收
absorption,noun,吸收
abstract,adjective,抽象的；純理論的；純概念的
absurd,adjective,荒謬的，荒唐的；愚蠢的；可笑的
abundance,noun,大量；充足；豐富
abundant,adjective,大量的；充足的；豐富的
abundantly,None,None
abuse,verb,（尤指為個人私利而）濫用；妄用
abut,verb,鄰接；毗連；緊靠
academic,adjective,學校的；學院的；學術的
academician,noun,學會會員；院士
accelerate,verb,（車輛或駕駛者）加速
accelerated,verb,（車輛或駕駛者）加速
accelerating,verb,（車輛或駕駛者）加速
acceleration,noun,增速，加快；加速性能
access,noun,通道；途徑；（接近某地或某人的）機會（或方法）；（使用某物的）權利
accessibility,None,None
accessible,adjective,可進入的，可接近的；可得到的
accessory,noun,附件，配件，附屬品；裝飾品，配飾
accident,noun,意外；不測；事故
accidental,adjective,偶然的；意外的
accidentally,adverb,偶然地；意外地
acclaim,noun,（公開的）稱譽；讚賞；歡迎
accommodate,verb,為…提供住宿；容納；為…提供空間
accommodating,adjective,樂於助人的；與人方便的；通融的
accompaniment,noun,伴奏音樂
accompany,verb,陪同，陪伴；伴隨，和…一起發生（或存在）
accompanying,adjective,伴隨的，陪伴的；和…一起發生（或存在）的
accomplish,verb,完成；實現；達到；做到
accomplished,adjective,熟練的；有造詣的；有才藝的
accomplishment,noun,成就；成績
accordion,noun,手風琴
account,noun,帳戶，戶口
accountant,noun,會計；會計師
accounting,noun,會計；會計學
accredit,verb,鑒定…為合格；認可；認為…屬實；授權
accumulate,verb,積累；積聚；積攢
accumulation,noun,積累；積聚；積攢
accuracy,noun,準確；精確；正確
accurate,adjective,準確的；精確的；正確的
accusation,noun,指控，控告；指責；譴責
accuse,verb,指控，控告；指責；譴責
accustomed,adjective,習慣的；適應了的
achieve,verb,（尤指經過努力）完成；達到；實現
achievement,noun,成就，成績；功績
acid,noun,酸
acidic,adjective,酸性的
acidity,noun,酸的含量，酸度；酸性
acquaint,phrasal verb,使認識；使了解；使熟悉；使知悉
acquaintance,noun,相識的人，熟人；泛泛之交
acquainted,adjective,相識的；認識的；熟悉的
acquire,verb,取得，獲得；購得；學到
acquisition,noun,獲得
acronym,noun,首字母縮略詞，首字母組合詞，首字母縮略詞
activate,verb,啟動，開動；啟動
actively,adverb,積極地
actual,adjective,現實的，實際的；真實的，真正的
actually,adverb,實際上；事實上；的確
actuate,verb,開動，啟動；激勵，驅使
acumen,noun,敏銳；精明
acupuncture,noun,針刺療法
acute,adjective,十分嚴重的
adapt,verb,使適應不同情況（或用途）；改動；改造；改裝；改編
